the,8036
and,5896
i,4712
to,4540
of,3738
a,2961
in,2558
he,2543
that,2455
it,2141
was,1877
as,1581
we,1535
for,1534
is,1526
his,1467
you,1450
me,1446
not,1404
with,1320
my,1259
all,1166
be,1126
at,1095
so,1093
on,1081
but,1070
have,1063
her,1056
had,1038
him,945
she,810
when,772
there,767
this,669
which,656
if,647
from,638
are,601
said,569
were,548
then,543
by,531
or,525
could,493
one,491
do,490
no,485
they,465
them,465
what,461
us,456
will,456
must,451
up,445
some,441
out,429
would,428
shall,427
may,416
our,410
now,402
see,394
been,391
know,390
can,384
more,373
time,369
an,360
has,347
come,338
am,336
over,328
van,322
any,322
your,312
came,307
helsing,300
went,298
into,287
only,285
go,284
who,284
very,281
did,281
before,277
like,275
here,261
back,259
down,252
again,246
seemed,243
about,239
even,234
well,232
such,229
way,226
took,224
lucy,223
dear,221
